,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
315,1897-04,16.66860215010201,0.05999303306869557,15.253326165842857,0.06555947136561757,15.855735143467307,0.06306866196689771
316,1897-05,17.0123969058832,0.05878066480180589,15.57639961533824,0.06419968829095074,16.18022806763254,0.061803825991824726
317,1897-06,17.813941229951958,0.05613580886404984,16.322783554905225,0.06126406054679846,16.937279006211423,0.05904136075418426
318,1897-07,18.611991329512822,0.05372880216284603,17.06795190971212,0.05858933780045239,17.68862951791906,0.05653349226331938
319,1897-08,18.966402563714766,0.052724811499737546,17.40804363891562,0.05744470893699414,18.015503526222037,0.0555077463443902
320,1897-09,19.331337948535023,0.051729476907509266,17.758163501166134,0.05631212934458749,18.350869889128514,0.05449332952834151
321,1897-10,18.983367135705794,0.052677693733220864,17.45853174470133,0.05727858531422612,18.008267230390267,0.05553005112631974
322,1897-11,18.311711264551256,0.054609860627054065,16.85922834520704,0.059314695757370944,17.358370033023444,0.05760909567531682
323,1897-12,18.693018850139826,0.05349590710932814,17.229787500879024,0.05803902108188986,17.702507040982212,0.05648917397320892
324,1898-01,19.184732593703707,0.05212478178237381,17.70019789317229,0.05649654348699355,18.147672451117664,0.05510348518211286
325,1898-02,18.850255530372838,0.053049678737178425,17.405953048347072,0.05745160849408147,17.812835404130176,0.05613929379082091
326,1898-03,17.974032734615307,0.05563581722393045,16.61311499465928,0.06019340745678797,16.964866947599408,0.058945348825238136
327,1898-04,17.637765627658805,0.05669652387442103,16.315007414672554,0.061293260528994385,16.626509958237072,0.06014491330482631
328,1898-05,17.535220940519437,0.05702808099151202,16.228665526786706,0.06161936102197807,16.50842978350373,0.06057511302493854
329,1898-06,19.46070320979538,0.05138560458065351,18.018916488226257,0.055497232625136485,18.298270582703672,0.05464997336662208
