,date,cpi
1130,1965-03,31.3
1131,1965-04,31.4
1132,1965-05,31.4
1133,1965-06,31.6
1134,1965-07,31.6
1135,1965-08,31.6
1136,1965-09,31.6
1137,1965-10,31.7
1138,1965-11,31.7
1139,1965-12,31.8
1140,1966-01,31.8
1141,1966-02,32.0
1142,1966-03,32.1
1143,1966-04,32.3
1144,1966-05,32.3
1145,1966-06,32.4
1146,1966-07,32.5
1147,1966-08,32.7
1148,1966-09,32.7
1149,1966-10,32.9
1150,1966-11,32.9
1151,1966-12,32.9
1152,1967-01,32.9
1153,1967-02,32.9
1154,1967-03,33.0
1155,1967-04,33.1
1156,1967-05,33.2
1157,1967-06,33.3
1158,1967-07,33.4
1159,1967-08,33.5
1160,1967-09,33.6
1161,1967-10,33.7
1162,1967-11,33.8
1163,1967-12,33.9
1164,1968-01,34.1
1165,1968-02,34.2
1166,1968-03,34.3
1167,1968-04,34.4
1168,1968-05,34.5
1169,1968-06,34.7
1170,1968-07,34.9
1171,1968-08,35.0
1172,1968-09,35.1
1173,1968-10,35.3
1174,1968-11,35.4
1175,1968-12,35.5
1176,1969-01,35.6
1177,1969-02,35.8
1178,1969-03,36.1
1179,1969-04,36.3
1180,1969-05,36.4
1181,1969-06,36.6
1182,1969-07,36.8
1183,1969-08,37.0
1184,1969-09,37.1
1185,1969-10,37.3
1186,1969-11,37.5
1187,1969-12,37.7
1188,1970-01,37.8
1189,1970-02,38.0
1190,1970-03,38.2
1191,1970-04,38.5
1192,1970-05,38.6
1193,1970-06,38.8
1194,1970-07,39.0
1195,1970-08,39.0
1196,1970-09,39.2
1197,1970-10,39.4
1198,1970-11,39.6
1199,1970-12,39.8
1200,1971-01,39.8
1201,1971-02,39.9
1202,1971-03,40.0
1203,1971-04,40.1
1204,1971-05,40.3
1205,1971-06,40.6
1206,1971-07,40.7
1207,1971-08,40.8
1208,1971-09,40.8
1209,1971-10,40.9
1210,1971-11,40.9
1211,1971-12,41.1
1212,1972-01,41.1
1213,1972-02,41.3
1214,1972-03,41.4
1215,1972-04,41.5
1216,1972-05,41.6
1217,1972-06,41.7
1218,1972-07,41.9
1219,1972-08,42.0
1220,1972-09,42.1
1221,1972-10,42.3
1222,1972-11,42.4
1223,1972-12,42.5
1224,1973-01,42.6
1225,1973-02,42.9
1226,1973-03,43.3
1227,1973-04,43.6
1228,1973-05,43.9
1229,1973-06,44.2
1230,1973-07,44.3
1231,1973-08,45.1
1232,1973-09,45.2
1233,1973-10,45.6
1234,1973-11,45.9
1235,1973-12,46.2
1236,1974-01,46.6
1237,1974-02,47.2
1238,1974-03,47.8
1239,1974-04,48.0
1240,1974-05,48.6
1241,1974-06,49.0
1242,1974-07,49.4
1243,1974-08,50.0
1244,1974-09,50.6
1245,1974-10,51.1
